"","symbol","date","open","high","low","close","volume","adjusted"
"49","MSFT",2020-09-09,207.600006,214.839996,206.699997,211.289993,45679000,210.738266
"50","MSFT",2020-09-10,213.399994,214.740005,204.110001,205.369995,35461500,204.833725
"51","MSFT",2020-09-11,207.199997,208.630005,201.240005,204.029999,33620100,203.497238
"52","MSFT",2020-09-14,204.240005,209.199997,204.029999,205.410004,30375800,204.873627
"53","MSFT",2020-09-15,208.419998,209.779999,206.929993,208.779999,21823900,208.234833
"54","MSFT",2020-09-16,210.619995,210.649994,204.639999,205.050003,26328100,204.514572
"55","MSFT",2020-09-17,200.050003,204.330002,199.960007,202.910004,34011300,202.380157
"56","MSFT",2020-09-18,202.800003,203.649994,196.25,200.389999,55225300,199.86673
"57","MSFT",2020-09-21,197.190002,202.710007,196.380005,202.539993,39839700,202.011124
"58","MSFT",2020-09-22,205.059998,208.100006,202.080002,207.419998,33517100,206.878372
"59","MSFT",2020-09-23,207.899994,208.100006,200.029999,200.589996,30803800,200.066208
"60","MSFT",2020-09-24,199.850006,205.570007,199.199997,203.190002,31202500,202.659424
"61","MSFT",2020-09-25,203.550003,209.039993,202.539993,207.820007,29437300,207.277344
"62","MSFT",2020-09-28,210.880005,212.570007,208.059998,209.440002,32004900,208.893112
"63","MSFT",2020-09-29,209.350006,210.070007,206.809998,207.259995,24221900,206.718796
"64","MSFT",2020-09-30,207.729996,211.979996,206.539993,210.330002,33780700,209.780777
"65","MSFT",2020-10-01,213.490005,213.990005,211.320007,212.460007,27158400,211.905228
"66","MSFT",2020-10-02,208,210.990005,205.539993,206.190002,33154800,205.651596
"67","MSFT",2020-10-05,207.220001,210.410004,206.979996,210.380005,21331600,209.830658
"68","MSFT",2020-10-06,208.820007,210.179993,204.820007,205.910004,28554300,205.37233
"69","MSFT",2020-10-07,207.059998,210.110001,206.720001,209.830002,25681100,209.282089
"70","MSFT",2020-10-08,210.509995,211.190002,208.320007,210.580002,19925800,210.030136
"71","MSFT",2020-10-09,211.229996,215.860001,211.229996,215.809998,26458000,215.246475
"72","MSFT",2020-10-12,218.789993,223.860001,216.809998,221.399994,40461400,220.821869
"73","MSFT",2020-10-13,222.720001,225.210007,220.429993,222.860001,28950800,222.278061
"74","MSFT",2020-10-14,223,224.220001,219.130005,220.860001,23451700,220.283279
"75","MSFT",2020-10-15,217.100006,220.360001,216.009995,219.660004,22733100,219.086426
"76","MSFT",2020-10-16,220.149994,222.289993,219.320007,219.660004,26057900,219.086426
"77","MSFT",2020-10-19,220.419998,222.300003,213.720001,214.220001,27625800,213.660629
"78","MSFT",2020-10-20,215.800003,217.369995,213.089996,214.649994,22753500,214.089493
"79","MSFT",2020-10-21,213.119995,216.919998,213.119995,214.800003,22724900,214.23912
"80","MSFT",2020-10-22,213.929993,216.059998,211.699997,214.889999,22351500,214.328873
"81","MSFT",2020-10-23,215.029999,216.279999,213.160004,216.229996,18879600,215.665375
"82","MSFT",2020-10-26,213.850006,216.339996,208.100006,210.080002,37111600,209.531433
"83","MSFT",2020-10-27,211.589996,214.669998,210.330002,213.25,36700300,212.693161
"84","MSFT",2020-10-28,207.669998,208.839996,202.100006,202.679993,51195600,202.150757
"85","MSFT",2020-10-29,204.070007,207.360001,203.369995,204.720001,31432600,204.185425
"86","MSFT",2020-10-30,203.5,204.289993,199.619995,202.470001,36953700,201.941315
"87","MSFT",2020-11-02,204.289993,205.279999,200.119995,202.330002,30842200,201.801666
"88","MSFT",2020-11-03,203.889999,208.119995,203.119995,206.429993,27512000,205.890961
"89","MSFT",2020-11-04,214.020004,218.320007,212.419998,216.389999,42311800,215.824951
"90","MSFT",2020-11-05,222.039993,224.119995,221.149994,223.289993,36080100,222.70694
"91","MSFT",2020-11-06,222.259995,224.360001,218.029999,223.720001,25231900,223.135818
"92","MSFT",2020-11-09,224.440002,228.119995,217.880005,218.389999,44395000,217.819733
"93","MSFT",2020-11-10,214.5,216.5,209.720001,211.009995,44045100,210.459
"94","MSFT",2020-11-11,212.389999,218.039993,212.199997,216.550003,29440800,215.984543
"95","MSFT",2020-11-12,217.210007,219.110001,214.460007,215.440002,21593900,214.877441
"96","MSFT",2020-11-13,216.360001,217.419998,214.160004,216.509995,18621100,215.944641
"97","MSFT",2020-11-16,214.869995,217.740005,214.520004,217.229996,24953300,216.662766
"98","MSFT",2020-11-17,216.100006,217.679993,214.080002,214.460007,24154100,213.900009
"99","MSFT",2020-11-18,213.649994,215.169998,210.929993,211.080002,28372800,211.080002
"100","MSFT",2020-11-19,211.380005,213.029999,209.929993,212.419998,24792700,212.419998
"101","MSFT",2020-11-20,212.199997,213.289993,210,210.389999,22829100,210.389999
"102","MSFT",2020-11-23,210.949997,212.289993,208.160004,210.110001,25683500,210.110001
"103","MSFT",2020-11-24,209.589996,214.25,208.860001,213.860001,33979700,213.860001
"104","MSFT",2020-11-25,215.110001,215.289993,212.460007,213.869995,21012900,213.869995
"105","MSFT",2020-11-27,214.850006,216.270004,214.039993,215.229996,14512200,215.229996
"106","MSFT",2020-11-30,214.100006,214.759995,210.839996,214.070007,33064800,214.070007
"107","GOOG",2020-07-01,1411.099976,1443,1409.819946,1438.040039,1775200,1438.040039
"108","GOOG",2020-07-02,1446.939941,1482.949951,1446.420044,1464.699951,1859100,1464.699951
"109","GOOG",2020-07-06,1480.060059,1506.589966,1472.859985,1495.699951,1564000,1495.699951
"110","GOOG",2020-07-07,1490,1516.800049,1483.550049,1485.180054,1458200,1485.180054
"111","GOOG",2020-07-08,1494.319946,1505.880005,1485.630005,1496,1249700,1496
"112","GOOG",2020-07-09,1506.449951,1522.719971,1488.084961,1510.98999,1423300,1510.98999
"113","GOOG",2020-07-10,1506.150024,1543.829956,1496.540039,1541.73999,1856300,1541.73999
"114","GOOG",2020-07-13,1550,1577.131958,1505.243042,1511.339966,1846400,1511.339966
"115","GOOG",2020-07-14,1490.310059,1522.949951,1483.5,1520.579956,1585000,1520.579956
"116","GOOG",2020-07-15,1523.130005,1535.329956,1498,1513.640015,1610700,1513.640015
"117","GOOG",2020-07-16,1500,1518.689941,1486.310059,1518,1519300,1518
"118","GOOG",2020-07-17,1521.619995,1523.439941,1498.420044,1515.550049,1456700,1515.550049
"119","GOOG",2020-07-20,1515.26001,1570.290039,1503.599976,1565.719971,1557300,1565.719971
"120","GOOG",2020-07-21,1586.98999,1586.98999,1554.280029,1558.420044,1218600,1558.420044
"121","GOOG",2020-07-22,1560.5,1570,1546.099976,1568.48999,932000,1568.48999
"122","GOOG",2020-07-23,1566.969971,1571.869995,1507.391968,1515.680054,1627600,1515.680054
"123","GOOG",2020-07-24,1498.930054,1517.635986,1488.400024,1511.869995,1544000,1511.869995
"124","GOOG",2020-07-27,1515.599976,1540.969971,1515.209961,1530.199951,1246000,1530.199951
"125","GOOG",2020-07-28,1525.180054,1526.47998,1497.660034,1500.339966,1702200,1500.339966
"126","GOOG",2020-07-29,1506.319946,1531.251953,1501.329956,1522.02002,1106500,1522.02002
"127","GOOG",2020-07-30,1497,1537.869995,1492.219971,1531.449951,1671400,1531.449951
"128","GOOG",2020-07-31,1505.01001,1508.949951,1454.030029,1482.959961,3439900,1482.959961
"129","GOOG",2020-08-03,1486.640015,1490.469971,1465.640015,1474.449951,2330200,1474.449951
"130","GOOG",2020-08-04,1476.569946,1485.560059,1458.650024,1464.969971,1903500,1464.969971
"131","GOOG",2020-08-05,1469.300049,1482.410034,1463.459961,1473.609985,1979500,1473.609985
"132","GOOG",2020-08-06,1471.75,1502.390015,1466,1500.099976,1995400,1500.099976
"133","GOOG",2020-08-07,1500,1516.844971,1481.640015,1494.48999,1576600,1494.48999
"134","GOOG",2020-08-10,1487.180054,1504.074951,1473.079956,1496.099976,1289300,1496.099976
"135","GOOG",2020-08-11,1492.439941,1510,1478,1480.319946,1454400,1480.319946
"136","GOOG",2020-08-12,1485.579956,1512.385986,1485.25,1506.619995,1437700,1506.619995
"137","GOOG",2020-08-13,1510.339966,1537.25,1508.005005,1518.449951,1455200,1518.449951
"138","GOOG",2020-08-14,1515.660034,1521.900024,1502.880005,1507.72998,1354800,1507.72998
"139","GOOG",2020-08-17,1514.670044,1525.609985,1507.969971,1517.97998,1378300,1517.97998
"140","GOOG",2020-08-18,1526.180054,1562.469971,1523.709961,1558.599976,2027100,1558.599976
"141","GOOG",2020-08-19,1553.310059,1573.680054,1543.949951,1547.530029,1660600,1547.530029
"142","GOOG",2020-08-20,1543.449951,1585.869995,1538.199951,1581.75,1706900,1581.75
"143","GOOG",2020-08-21,1577.030029,1597.719971,1568.005005,1580.420044,1446500,1580.420044
"144","GOOG",2020-08-24,1593.97998,1614.170044,1580.569946,1588.199951,1409900,1588.199951
"145","GOOG",2020-08-25,1582.069946,1611.619995,1582.069946,1608.219971,2247100,1608.219971
"146","GOOG",2020-08-26,1608,1659.219971,1603.599976,1652.380005,3993400,1652.380005
"147","GOOG",2020-08-27,1653.680054,1655,1625.75,1634.329956,1861600,1634.329956
"148","GOOG",2020-08-28,1633.48999,1647.170044,1630.75,1644.410034,1499800,1644.410034
"149","GOOG",2020-08-31,1647.890015,1647.964966,1630.310059,1634.180054,1823400,1634.180054
"150","GOOG",2020-09-01,1636.630005,1665.72998,1632.219971,1660.709961,1826700,1660.709961
"151","GOOG",2020-09-02,1673.775024,1733.180054,1666.329956,1728.280029,2511200,1728.280029
"152","GOOG",2020-09-03,1709.713989,1709.713989,1615.060059,1641.839966,3107800,1641.839966
"153","GOOG",2020-09-04,1624.26001,1645.109985,1547.613037,1591.040039,2608600,1591.040039
"154","GOOG",2020-09-08,1533.51001,1563.86499,1528.01001,1532.390015,2610900,1532.390015
"155","GOOG",2020-09-09,1557.530029,1569,1536.051025,1556.959961,1774700,1556.959961
"156","GOOG",2020-09-10,1560.640015,1584.081055,1525.805054,1532.02002,1618600,1532.02002
"157","GOOG",2020-09-11,1536,1575.199951,1497.359985,1520.719971,1597100,1520.719971
"158","GOOG",2020-09-14,1539.005005,1564,1515.73999,1519.280029,1696600,1519.280029
"159","GOOG",2020-09-15,1536,1559.569946,1531.834961,1541.439941,1331100,1541.439941
"160","GOOG",2020-09-16,1555.540039,1562,1519.819946,1520.900024,1311700,1520.900024
"161","GOOG",2020-09-17,1496,1508.297974,1470,1495.530029,1879800,1495.530029
"162","GOOG",2020-09-18,1498.01001,1503.003052,1437.130005,1459.98999,3103900,1459.98999
"163","GOOG",2020-09-21,1440.060059,1448.359985,1406.550049,1431.160034,2888800,1431.160034
"164","GOOG",2020-09-22,1450.089966,1469.52002,1434.530029,1465.459961,1583200,1465.459961
"165","GOOG",2020-09-23,1458.780029,1460.959961,1407.699951,1415.209961,1657400,1415.209961
"166","GOOG",2020-09-24,1411.030029,1443.708984,1409.849976,1428.290039,1450200,1428.290039
"167","GOOG",2020-09-25,1432.630005,1450,1413.339966,1444.959961,1323000,1444.959961
"168","GOOG",2020-09-28,1474.209961,1476.800049,1449.301025,1464.52002,2007900,1464.52002
"169","GOOG",2020-09-29,1470.390015,1476.662964,1458.805054,1469.329956,978200,1469.329956
"170","GOOG",2020-09-30,1466.800049,1489.75,1459.880005,1469.599976,1700600,1469.599976
"171","GOOG",2020-10-01,1484.27002,1499.040039,1479.209961,1490.089966,1779500,1490.089966
"172","GOOG",2020-10-02,1462.030029,1483.199951,1450.920044,1458.420044,1284100,1458.420044
"173","GOOG",2020-10-05,1466.209961,1488.209961,1464.27002,1486.02002,1113300,1486.02002
"174","GOOG",2020-10-06,1475.579956,1486.76001,1448.589966,1453.439941,1245400,1453.439941
"175","GOOG",2020-10-07,1464.290039,1468.959961,1436,1460.290039,1746200,1460.290039
"176","GOOG",2020-10-08,1465.089966,1490,1465.089966,1485.930054,1187800,1485.930054
"177","GOOG",2020-10-09,1494.699951,1516.52002,1489.449951,1515.219971,1435300,1515.219971
"178","GOOG",2020-10-12,1543,1593.859985,1532.569946,1569.150024,2482600,1569.150024
"179","GOOG",2020-10-13,1583.72998,1590,1563.199951,1571.680054,1601000,1571.680054
"180","GOOG",2020-10-14,1578.589966,1587.68396,1550.530029,1568.079956,1931000,1568.079956
"181","GOOG",2020-10-15,1547.150024,1575.10498,1545.030029,1559.130005,1540000,1559.130005
"182","GOOG",2020-10-16,1565.849976,1581.130005,1563,1573.01001,1434700,1573.01001
"183","GOOG",2020-10-19,1580.459961,1588.150024,1528,1534.609985,1607100,1534.609985
"184","GOOG",2020-10-20,1527.050049,1577.5,1525.670044,1555.930054,2241700,1555.930054
"185","GOOG",2020-10-21,1573.329956,1618.72998,1571.630005,1593.310059,2568300,1593.310059
"186","GOOG",2020-10-22,1593.050049,1621.98999,1585,1615.329956,1433600,1615.329956
"187","GOOG",2020-10-23,1626.069946,1642.359985,1620.51001,1641,1375800,1641
"188","GOOG",2020-10-26,1625.01001,1638.23999,1576.5,1590.449951,1853300,1590.449951
"189","GOOG",2020-10-27,1595.670044,1606.844971,1582.780029,1604.26001,1229000,1604.26001
"190","GOOG",2020-10-28,1559.73999,1561.349976,1514.619995,1516.619995,1834000,1516.619995
"191","GOOG",2020-10-29,1522.359985,1593.709961,1522.23999,1567.23999,2003100,1567.23999
"192","GOOG",2020-10-30,1672.109985,1687,1604.459961,1621.01001,4329100,1621.01001
"193","GOOG",2020-11-02,1628.160034,1660.77002,1616.030029,1626.030029,2535400,1626.030029
"194","GOOG",2020-11-03,1631.780029,1661.699951,1616.619995,1650.209961,1661700,1650.209961
"195","GOOG",2020-11-04,1710.280029,1771.36499,1706.030029,1749.130005,3570900,1749.130005
"196","GOOG",2020-11-05,1781,1793.640015,1750.51001,1763.369995,2065800,1763.369995
"197","GOOG",2020-11-06,1753.949951,1772.430054,1740.349976,1761.75,1660900,1761.75
"198","GOOG",2020-11-09,1790.900024,1818.060059,1760.02002,1763,2268300,1763
"199","GOOG",2020-11-10,1731.089966,1763,1717.300049,1740.390015,2636100,1740.390015
"200","GOOG",2020-11-11,1750,1764.219971,1747.36499,1752.709961,1264000,1752.709961
"201","GOOG",2020-11-12,1747.630005,1768.27002,1745.599976,1749.839966,1247500,1749.839966
"202","GOOG",2020-11-13,1757.630005,1781.040039,1744.550049,1777.02002,1499900,1777.02002
"203","GOOG",2020-11-16,1771.699951,1799.069946,1767.689941,1781.380005,1246800,1781.380005
"204","GOOG",2020-11-17,1776.939941,1785,1767,1770.150024,1147100,1770.150024
"205","GOOG",2020-11-18,1765.22998,1773.469971,1746.140015,1746.780029,1173500,1746.780029
"206","GOOG",2020-11-19,1738.380005,1769.589966,1737.005005,1763.920044,1249900,1763.920044
"207","GOOG",2020-11-20,1765.209961,1774,1741.859985,1742.189941,2313500,1742.189941
"208","GOOG",2020-11-23,1749.599976,1753.900024,1717.719971,1734.859985,2161600,1734.859985
"209","GOOG",2020-11-24,1730.5,1771.599976,1727.689941,1768.880005,1578000,1768.880005
"210","GOOG",2020-11-25,1772.890015,1778.540039,1756.540039,1771.430054,1045800,1771.430054
"211","GOOG",2020-11-27,1773.089966,1804,1772.439941,1793.189941,884900,1793.189941
"212","GOOG",2020-11-30,1781.18396,1788.064941,1755,1760.73999,1823800,1760.73999
"213","AMZN",2020-07-01,2757.98999,2895,2754,2878.699951,6363400,2878.699951
"214","AMZN",2020-07-02,2912.01001,2955.560059,2871.100098,2890.300049,6593400,2890.300049
"215","AMZN",2020-07-06,2934.969971,3059.879883,2930,3057.040039,6880600,3057.040039
"216","AMZN",2020-07-07,3058.550049,3069.550049,2990,3000.120117,5257500,3000.120117
"217","AMZN",2020-07-08,3022.610107,3083.969971,3012.429932,3081.110107,5037600,3081.110107
"218","AMZN",2020-07-09,3115.98999,3193.879883,3074,3182.629883,6388700,3182.629883
"219","AMZN",2020-07-10,3191.76001,3215,3135.699951,3200,5486000,3200
"220","AMZN",2020-07-13,3251.060059,3344.290039,3068.389893,3104,7720400,3104
"221","AMZN",2020-07-14,3089,3127.379883,2950,3084,7231900,3084
"222","AMZN",2020-07-15,3080.22998,3098.350098,2973.179932,3008.870117,5788900,3008.870117
"223","AMZN",2020-07-16,2971.060059,3032,2918.22998,2999.899902,6394200,2999.899902
"224","AMZN",2020-07-17,3009,3024,2948.449951,2961.969971,4761300,2961.969971
"225","AMZN",2020-07-20,3000.199951,3201.360107,2994.02002,3196.840088,7598200,3196.840088
"226","AMZN",2020-07-21,3232.48999,3240.580078,3105.719971,3138.290039,6135000,3138.290039
"227","AMZN",2020-07-22,3125,3150,3065.26001,3099.909912,4104200,3099.909912
"228","AMZN",2020-07-23,3098.27002,3098.27002,2970,2986.550049,5656900,2986.550049
"229","AMZN",2020-07-24,2930,3031.580078,2888,3008.909912,5632400,3008.909912
"230","AMZN",2020-07-27,3062,3098,3015.77002,3055.209961,4170500,3055.209961
"231","AMZN",2020-07-28,3054.27002,3077.090088,2995.76001,3000.330078,3126700,3000.330078
"232","AMZN",2020-07-29,3030.98999,3039.159912,2996.77002,3033.530029,2974100,3033.530029
"233","AMZN",2020-07-30,3014,3092,3005,3051.879883,6128300,3051.879883
"234","AMZN",2020-07-31,3244,3246.820068,3151,3164.679932,8085500,3164.679932
"235","AMZN",2020-08-03,3180.51001,3184,3104,3111.889893,5074700,3111.889893
"236","AMZN",2020-08-04,3101.209961,3167.23999,3101.209961,3138.830078,4694300,3138.830078
"237","AMZN",2020-08-05,3143.77002,3213.590088,3127.300049,3205.030029,3930000,3205.030029
"238","AMZN",2020-08-06,3194.360107,3247.469971,3165.429932,3225,3940600,3225
"239","AMZN",2020-08-07,3224.01001,3240.810059,3140.669922,3167.459961,3929600,3167.459961
"240","AMZN",2020-08-10,3170.310059,3172.51001,3101.52002,3148.159912,3167300,3148.159912
"241","AMZN",2020-08-11,3113.199951,3159.219971,3073,3080.669922,3718100,3080.669922
"242","AMZN",2020-08-12,3108,3174.389893,3101.419922,3162.23999,3527200,3162.23999
"243","AMZN",2020-08-13,3182.98999,3217.52002,3155,3161.02002,3149000,3161.02002
"244","AMZN",2020-08-14,3178.179932,3178.23999,3120,3148.02002,2751700,3148.02002
"245","AMZN",2020-08-17,3173.120117,3194.969971,3154.179932,3182.409912,2691200,3182.409912
"246","AMZN",2020-08-18,3212,3320,3205.820068,3312.48999,5346000,3312.48999
"247","AMZN",2020-08-19,3303.01001,3315.899902,3256,3260.47998,4185100,3260.47998
"248","AMZN",2020-08-20,3252,3312.620117,3238,3297.370117,3332500,3297.370117
"249","AMZN",2020-08-21,3295,3314.399902,3275.389893,3284.719971,3575900,3284.719971
"250","AMZN",2020-08-24,3310.149902,3380.320068,3257.560059,3307.459961,4666300,3307.459961
"251","AMZN",2020-08-25,3294.98999,3357.399902,3267,3346.48999,3992800,3346.48999
"252","AMZN",2020-08-26,3351.110107,3451.73999,3344.570068,3441.850098,6508700,3441.850098
"253","AMZN",2020-08-27,3450.050049,3453,3378,3400,4264800,3400
"254","AMZN",2020-08-28,3423,3433.370117,3386.5,3401.800049,2897000,3401.800049
"255","AMZN",2020-08-31,3408.98999,3495,3405,3450.959961,4185900,3450.959961
"256","AMZN",2020-09-01,3489.580078,3513.870117,3467,3499.120117,3476400,3499.120117
"257","AMZN",2020-09-02,3547,3552.25,3486.689941,3531.449951,3931500,3531.449951
"258","AMZN",2020-09-03,3485,3488.409912,3303,3368,8161100,3368
"259","AMZN",2020-09-04,3318,3381.5,3111.129883,3294.620117,8781800,3294.620117
"260","AMZN",2020-09-08,3144,3250.850098,3130,3149.840088,6094200,3149.840088
"261","AMZN",2020-09-09,3202.98999,3303.179932,3185,3268.610107,5188700,3268.610107
"262","AMZN",2020-09-10,3307.219971,3349.889893,3170.550049,3175.110107,5330700,3175.110107
"263","AMZN",2020-09-11,3208.689941,3217.340088,3083.97998,3116.219971,5094000,3116.219971
"264","AMZN",2020-09-14,3172.939941,3187.389893,3096,3102.969971,4529600,3102.969971
"265","AMZN",2020-09-15,3136.159912,3175.02002,3108.919922,3156.129883,4021500,3156.129883
"266","AMZN",2020-09-16,3179.98999,3187.23999,3074.149902,3078.100098,4512200,3078.100098
"267","AMZN",2020-09-17,3009.25,3029.429932,2972.550049,3008.72998,6449100,3008.72998
"268","AMZN",2020-09-18,3031.73999,3037.800049,2905.540039,2954.909912,8892600,2954.909912
"269","AMZN",2020-09-21,2906.5,2962,2871,2960.469971,6117900,2960.469971
"270","AMZN",2020-09-22,3033.840088,3133.98999,3000.199951,3128.98999,6948800,3128.98999
"271","AMZN",2020-09-23,3120.429932,3127,2992.379883,2999.860107,5652700,2999.860107
"272","AMZN",2020-09-24,2977.790039,3069.300049,2965,3019.790039,5529400,3019.790039
"273","AMZN",2020-09-25,3054.860107,3101.540039,2999,3095.129883,4615200,3095.129883
"274","AMZN",2020-09-28,3148.850098,3175.040039,3117.169922,3174.050049,4224200,3174.050049
"275","AMZN",2020-09-29,3175.389893,3188.26001,3132.540039,3144.879883,3495800,3144.879883
"276","AMZN",2020-09-30,3141.139893,3212.879883,3133.98999,3148.72998,4883400,3148.72998
"277","AMZN",2020-10-01,3208,3224,3172,3221.26001,4971900,3221.26001
"278","AMZN",2020-10-02,3153.629883,3195.800049,3123,3125,5613100,3125
"279","AMZN",2020-10-05,3145.840088,3202.530029,3140.850098,3199.199951,3775300,3199.199951
"280","AMZN",2020-10-06,3165,3182,3090,3099.959961,5086900,3099.959961
"281","AMZN",2020-10-07,3135,3200,3132.389893,3195.689941,4309400,3195.689941
"282","AMZN",2020-10-08,3224.98999,3233.290039,3174.98999,3190.550049,3174100,3190.550049
"283","AMZN",2020-10-09,3210,3288.98999,3197.830078,3286.649902,4907900,3286.649902
"284","AMZN",2020-10-12,3349.939941,3496.23999,3339.550049,3442.929932,8364200,3442.929932
"285","AMZN",2020-10-13,3467.98999,3492.379883,3424.219971,3443.629883,5744700,3443.629883
"286","AMZN",2020-10-14,3447,3464.879883,3340,3363.709961,5828900,3363.709961
"287","AMZN",2020-10-15,3292.01001,3355.879883,3280,3338.649902,5223400,3338.649902
